week,date,time_et,opponent,site,venue,network,notes
1,2026-09-13,16:25,WAS,home,Lincoln Financial Field,FOX,
2,2026-09-20,13:00,TEN,away,Nissan Stadium,FOX,
3,2026-09-28,20:15,CHI,away,Soldier Field,ESPN,Monday Night Football
4,2026-10-04,13:00,LAR,home,Lincoln Financial Field,FOX,
5,2026-10-11,09:30,JAX,neutral,Tottenham Hotspur Stadium,NFL Network,London
6,2026-10-18,13:00,CAR,home,Lincoln Financial Field,CBS,
7,2026-10-26,20:15,DAL,home,Lincoln Financial Field,ESPN,Monday Night Football
8,2026-11-01,20:20,WAS,away,Northwest Stadium,NBC,Sunday Night Football
9,2026-11-08,13:00,NYG,home,Lincoln Financial Field,FOX,
10,2026-11-15,,BYE,bye,,,
11,2026-11-22,16:25,PIT,home,Lincoln Financial Field,CBS,
12,2026-11-26,16:30,DAL,away,AT&T Stadium,FOX,Thanksgiving
13,2026-12-06,16:05,ARI,away,State Farm Stadium,FOX,
14,2026-12-13,13:00,IND,home,Lincoln Financial Field,FOX,
15,2026-12-19,17:00,SEA,home,Lincoln Financial Field,FOX,Saturday
16,2026-12-24,20:15,HOU,home,Lincoln Financial Field,Amazon Prime,Thursday Night Football
17,2027-01-03,20:20,SF,away,Levi's Stadium,NBC,Sunday Night Football
18,,,NYG,away,MetLife Stadium,TBD,Date/time TBD
