team,wins,losses,ties,source_note
PHI,11,6,0,2025 record from public season summary
WAS,5,12,0,2025 record from Eagles schedule preview
TEN,3,14,0,2025 record from Eagles schedule preview
CHI,11,6,0,2025 record from Eagles schedule preview
LAR,12,5,0,2025 record from Eagles schedule preview
JAX,13,4,0,2025 record from Eagles schedule preview
CAR,8,9,0,2025 record from Eagles schedule preview
DAL,7,9,1,2025 record from Eagles schedule preview
NYG,4,13,0,2025 record from Eagles schedule preview
PIT,10,7,0,2025 record from Eagles schedule preview
ARI,3,14,0,2025 record from Eagles schedule preview
IND,8,9,0,2025 record from Eagles schedule preview
SEA,14,3,0,2025 record from Eagles schedule preview
HOU,12,5,0,2025 record from Eagles schedule preview
SF,12,5,0,2025 record from Eagles schedule preview
