model,bucket,bucket_low,bucket_high,games,mean_predicted_probability,actual_home_win_rate
elo,0.0-0.1,0.0,0.1,26,0.07602908570847534,0.38461538461538464
elo,0.1-0.2,0.1,0.2,130,0.15916642746191634,0.3230769230769231
elo,0.2-0.3,0.2,0.3,179,0.2538633275539412,0.30726256983240224
elo,0.3-0.4,0.3,0.4,226,0.3484316791389032,0.3893805309734513
elo,0.4-0.5,0.4,0.5,252,0.45039498776969195,0.42857142857142855
elo,0.5-0.6,0.5,0.6,294,0.5506393473478023,0.5136054421768708
elo,0.6-0.7,0.6,0.7,349,0.6487558687256318,0.5787965616045845
elo,0.7-0.8,0.7,0.8,284,0.7512269995127392,0.6725352112676056
elo,0.8-0.9,0.8,0.9,277,0.847764414215885,0.7617328519855595
elo,0.9-1.0,0.9,1.0,110,0.9294075098606445,0.7909090909090909
hist_gradient_boosting,0.0-0.1,0.0,0.1,44,0.06621484523432947,0.13636363636363635
hist_gradient_boosting,0.1-0.2,0.1,0.2,121,0.1606914137903945,0.2727272727272727
hist_gradient_boosting,0.2-0.3,0.2,0.3,171,0.2533607049500174,0.3157894736842105
hist_gradient_boosting,0.3-0.4,0.3,0.4,221,0.3510122001674489,0.37104072398190047
hist_gradient_boosting,0.4-0.5,0.4,0.5,307,0.4535758061515827,0.4364820846905538
hist_gradient_boosting,0.5-0.6,0.5,0.6,358,0.5513096030958408,0.5391061452513967
hist_gradient_boosting,0.6-0.7,0.6,0.7,354,0.6516311588959686,0.6666666666666666
hist_gradient_boosting,0.7-0.8,0.7,0.8,268,0.7466929522788658,0.667910447761194
hist_gradient_boosting,0.8-0.9,0.8,0.9,188,0.8457350525866288,0.776595744680851
hist_gradient_boosting,0.9-1.0,0.9,1.0,95,0.9429616768253382,0.8631578947368421
logistic_regression,0.0-0.1,0.0,0.1,9,0.08402829108588544,0.2222222222222222
logistic_regression,0.1-0.2,0.1,0.2,62,0.15762887698818354,0.1774193548387097
logistic_regression,0.2-0.3,0.2,0.3,173,0.26211037588526764,0.2254335260115607
logistic_regression,0.3-0.4,0.3,0.4,314,0.3601801407013372,0.37898089171974525
logistic_regression,0.4-0.5,0.4,0.5,290,0.43502569563729965,0.4103448275862069
logistic_regression,0.5-0.6,0.5,0.6,365,0.5653430175873012,0.5123287671232877
logistic_regression,0.6-0.7,0.6,0.7,420,0.6428987165177116,0.6642857142857143
logistic_regression,0.7-0.8,0.7,0.8,294,0.7423382907932758,0.7312925170068028
logistic_regression,0.8-0.9,0.8,0.9,161,0.8462068393330233,0.8571428571428571
logistic_regression,0.9-1.0,0.9,1.0,39,0.9261395980393221,0.9230769230769231
