model,season,games,brier,log_loss,accuracy
elo,2018,256,0.23293334357098164,0.6606549246769401,0.62109375
logistic_regression,2018,256,0.20909882306054228,0.6054088975654276,0.6640625
hist_gradient_boosting,2018,256,0.2245038487641408,0.6510698255645224,0.6328125
elo,2019,256,0.22649621001751014,0.6496114292407463,0.65234375
logistic_regression,2019,256,0.2120840028624397,0.6119442381620328,0.6484375
hist_gradient_boosting,2019,256,0.22518169112319655,0.6476069801632457,0.62890625
elo,2020,256,0.2246101330955725,0.6467897224388012,0.64453125
logistic_regression,2020,256,0.203464878152129,0.5947947561657623,0.6640625
hist_gradient_boosting,2020,256,0.21381668958144173,0.6252165143367012,0.6796875
elo,2021,272,0.23641919368695094,0.6798788742752815,0.6286764705882353
logistic_regression,2021,272,0.21939610815565622,0.6290807413737508,0.6213235294117647
hist_gradient_boosting,2021,272,0.2311585073789578,0.6670241093716763,0.6213235294117647
elo,2022,271,0.2376035317829992,0.6806912468595016,0.6309963099630996
logistic_regression,2022,271,0.21386543961388751,0.6150692919539961,0.6678966789667896
hist_gradient_boosting,2022,271,0.21616492388606123,0.6237300618019722,0.6678966789667896
elo,2023,272,0.2410028687170497,0.6880880980232534,0.6213235294117647
logistic_regression,2023,272,0.21687010596393452,0.6233701488149795,0.6838235294117647
hist_gradient_boosting,2023,272,0.23378875525795556,0.6607872993525488,0.6617647058823529
elo,2024,272,0.2141205891920097,0.6206642267128867,0.6617647058823529
logistic_regression,2024,272,0.2012036042858113,0.5890345963298023,0.7095588235294118
hist_gradient_boosting,2024,272,0.20374760704086292,0.5941233631626712,0.6911764705882353
elo,2025,272,0.23657311605613465,0.6768212151869196,0.625
logistic_regression,2025,272,0.21318324837306898,0.611259554319258,0.6544117647058824
hist_gradient_boosting,2025,272,0.21925579200129064,0.6282030504068103,0.6470588235294118
